City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Seoul,KR,67.44,mist,37.5683,126.9778,Lotte Hotel Seoul
4,Linqiong,CN,74.57,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
5,Yatou,CN,70.16,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
6,Pachino,IT,73.44,clear sky,36.7186,15.0907,Pietra Bianca B&B
7,Hermanus,ZA,60.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Port Alfred,ZA,61.99,few clouds,-33.5906,26.891,The Halyards Hotel
11,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Rikitea,PF,72.9,clear sky,-23.1203,-134.9692,People ThankYou
16,Sao Jose Da Coroa Grande,BR,75.52,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
18,Hasaki,JP,70.2,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
19,Omboue,GA,76.44,light rain,-1.5746,9.2618,Hotel Olako
22,Hilo,US,78.24,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Castro,BR,63.01,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Busselton,AU,61.09,broken clouds,-33.65,115.3333,Observatory Guest House
27,Aksu,CN,65.37,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
28,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Ribeira Grande,PT,71.89,few clouds,38.5167,-28.7,Quinta da Meia Eira
32,Mabini,PH,77.11,overcast clouds,15.6,120.9833,Anya's Private Pool
35,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
36,Lucapa,AO,65.93,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
38,Caravelas,BR,74.8,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
39,Puerto Ayora,EC,71.04,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Dingle,PH,78.55,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
41,Benguela,AO,71.01,broken clouds,-12.5763,13.4055,Hotel Praia Morena
42,Victoria,HK,85.32,few clouds,22.2855,114.1577,Mini Hotel Central
46,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Carlos Antonio Lopez,PY,80.4,scattered clouds,-26.4,-54.7667,Milenium
49,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
52,Thompson,CA,62.33,few clouds,55.7435,-97.8558,Burntwood Hotel
53,Cervignano Del Friuli,IT,62.17,broken clouds,45.8211,13.3381,Hotel Internazionale
55,East London,ZA,62.87,scattered clouds,-33.0153,27.9116,Tu Casa
56,Labuhan,ID,78.75,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
57,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
58,Isangel,VU,75.79,overcast clouds,-19.55,169.2667,Tanna Lodge
60,Vila Velha,BR,65.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
65,Allende,MX,88.72,broken clouds,25.2833,-100.0167,Ecovergel Hotel Boutique
67,Richards Bay,ZA,66.36,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
68,Riyadh,SA,82.22,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
70,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
71,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Airai,TL,69.78,broken clouds,-8.9266,125.4092,Juvinal Martin
80,Ingham,US,69.28,clear sky,42.6,-84.3833,Sunset Mobile Home Park
82,Cap Malheureux,MU,72.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
83,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
84,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
85,Esperance,AU,60.89,clear sky,-33.8667,121.9,Hospitality Esperance
87,San Cristobal,VE,69.12,broken clouds,7.7669,-72.225,Posada Villaven C.A.
89,Aragarcas,BR,82.58,scattered clouds,-15.8975,-52.2508,Hotel Pousada Tropical
90,Hualmay,PE,65.95,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
94,Nsukka,NG,71.04,light rain,6.8561,7.3927,Golden Eve Hotel
95,Ponta Do Sol,PT,72.72,few clouds,32.6667,-17.1,Hotel do Campo
96,Traverse City,US,67.73,broken clouds,44.7631,-85.6206,Bayshore Resort
