City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Seoul,KR,37.5683,126.9778,67.44,94,75,6.91,mist
1,Gamba,GA,-2.65,10.0,75.47,86,93,7.72,overcast clouds
2,Longyearbyen,SJ,78.2186,15.6401,31.84,86,0,2.3,clear sky
3,Kruisfontein,ZA,-34.0033,24.7314,58.89,97,100,2.53,light rain
4,Linqiong,CN,30.4159,103.4609,74.57,81,95,1.03,overcast clouds
5,Yatou,CN,37.15,122.3833,70.16,89,18,5.23,few clouds
6,Pachino,IT,36.7186,15.0907,73.44,73,3,9.66,clear sky
7,Hermanus,ZA,-34.4187,19.2345,60.91,81,77,9.08,broken clouds
8,Coquimbo,CL,-29.9533,-71.3436,57.38,74,0,7.96,clear sky
9,Port Alfred,ZA,-33.5906,26.891,61.99,92,15,4.68,few clouds
10,Chuy,UY,-33.6971,-53.4616,59.0,94,100,11.27,light rain
11,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,49,12.06,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,36.16,80,99,5.28,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,72.9,74,3,18.1,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,56.28,98,66,2.37,light rain
15,Yellowknife,CA,62.456,-114.3525,50.41,95,100,4.0,overcast clouds
16,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.52,87,34,8.93,scattered clouds
17,Cabo San Lucas,MX,22.8909,-109.9124,91.51,61,1,11.5,clear sky
18,Hasaki,JP,35.7333,140.8333,70.2,91,100,27.63,moderate rain
19,Omboue,GA,-1.5746,9.2618,76.44,87,100,8.01,light rain
20,Khatanga,RU,71.9667,102.5,28.56,98,100,7.11,overcast clouds
21,Halifax,CA,44.6453,-63.5724,57.69,88,70,8.99,broken clouds
22,Hilo,US,19.7297,-155.09,78.24,95,90,4.61,moderate rain
23,Castro,BR,-24.7911,-50.0119,63.01,77,48,10.49,scattered clouds
24,Jamestown,US,42.097,-79.2353,54.84,77,1,1.99,clear sky
25,Dikson,RU,73.5069,80.5464,32.95,88,100,23.58,overcast clouds
26,Busselton,AU,-33.65,115.3333,61.09,88,69,17.45,broken clouds
27,Aksu,CN,41.1231,80.2644,65.37,21,26,4.72,scattered clouds
28,Vaini,TO,-21.2,-175.2,77.16,78,75,8.05,broken clouds
29,Rakitnoye,RU,50.8389,35.8515,39.45,70,0,5.91,clear sky
30,Zastron,ZA,-30.3023,27.084,52.86,89,92,6.17,light rain
31,Ribeira Grande,PT,38.5167,-28.7,71.89,84,13,2.04,few clouds
32,Mabini,PH,15.6,120.9833,77.11,92,99,2.28,overcast clouds
33,Luba,GQ,3.4568,8.5547,78.66,85,100,5.32,light rain
34,Lavrentiya,RU,65.5833,-171.0,33.67,77,53,18.72,broken clouds
35,Tiarei,PF,-17.5333,-149.3333,84.22,76,10,17.25,light rain
36,Lucapa,AO,-8.4192,20.7447,65.93,94,100,1.43,light rain
37,Ahipara,NZ,-35.1667,173.1667,59.49,57,31,7.14,scattered clouds
38,Caravelas,BR,-17.7125,-39.2481,74.8,83,3,8.75,clear sky
39,Puerto Ayora,EC,-0.7393,-90.3518,71.04,88,68,8.68,broken clouds
40,Dingle,PH,10.9995,122.6711,78.55,86,81,1.74,broken clouds
41,Benguela,AO,-12.5763,13.4055,71.01,80,83,5.91,broken clouds
42,Victoria,HK,22.2855,114.1577,85.32,86,11,1.01,few clouds
43,Mataura,NZ,-46.1927,168.8643,52.48,67,95,6.02,overcast clouds
44,Hobart,AU,-42.8794,147.3294,58.12,96,90,1.99,drizzle
45,Husavik,IS,66.0449,-17.3389,41.16,83,100,16.44,overcast clouds
46,Kapaa,US,22.0752,-159.319,84.52,68,20,4.0,few clouds
47,Carlos Antonio Lopez,PY,-26.4,-54.7667,80.4,49,41,3.94,scattered clouds
48,Ukiah,US,39.1502,-123.2078,93.13,18,1,5.75,clear sky
49,Avarua,CK,-21.2078,-159.775,80.65,74,22,16.11,few clouds
50,Charyshskoye,RU,51.3978,83.5598,37.63,99,100,3.76,overcast clouds
51,Adrar,MR,20.5022,-10.0711,91.13,11,3,4.76,clear sky
52,Thompson,CA,55.7435,-97.8558,62.33,49,12,2.68,few clouds
53,Cervignano Del Friuli,IT,45.8211,13.3381,62.17,61,56,2.3,broken clouds
54,Cherskiy,RU,68.75,161.3,16.75,94,95,5.66,overcast clouds
55,East London,ZA,-33.0153,27.9116,62.87,91,36,3.96,scattered clouds
56,Labuhan,ID,-6.8844,112.2051,78.75,76,18,12.44,few clouds
57,Touros,BR,-5.1989,-35.4608,77.9,80,3,15.19,clear sky
58,Isangel,VU,-19.55,169.2667,75.79,78,100,15.17,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,57.76,73,100,2.95,overcast clouds
60,Vila Velha,BR,-20.3297,-40.2925,65.95,86,41,9.71,scattered clouds
61,Lata,PT,40.1629,-8.3327,59.81,81,79,1.77,broken clouds
62,Dunmanway,IE,51.7167,-9.1167,56.32,91,100,20.38,moderate rain
63,Punta Arenas,CL,-53.15,-70.9167,42.12,56,97,17.49,overcast clouds
64,Tuktoyaktuk,CA,69.4541,-133.0374,24.3,87,19,5.82,few clouds
65,Allende,MX,25.2833,-100.0167,88.72,55,61,8.57,broken clouds
66,Lebu,CL,-37.6167,-73.65,50.94,82,72,7.09,moderate rain
67,Richards Bay,ZA,-28.783,32.0377,66.36,88,100,8.88,light rain
68,Riyadh,SA,24.6877,46.7219,82.22,13,53,2.44,broken clouds
69,Chernyshevskiy,RU,63.0128,112.4714,25.39,83,48,3.18,scattered clouds
70,Nishihara,JP,26.1842,127.7558,81.68,74,40,12.66,scattered clouds
71,Saint George,US,37.1041,-113.5841,81.07,14,1,7.0,clear sky
72,Sidi Ali,DZ,36.0998,0.4206,70.16,74,68,6.6,broken clouds
73,Kozhva,RU,65.1073,57.0459,31.69,87,99,6.11,overcast clouds
74,Airai,TL,-8.9266,125.4092,69.78,39,72,2.68,broken clouds
75,Nikolskoye,RU,59.7035,30.7861,44.49,95,23,4.68,few clouds
76,Necochea,AR,-38.5473,-58.7368,53.04,91,43,9.35,scattered clouds
77,Marzuq,YE,14.4,46.4667,76.14,46,98,4.74,overcast clouds
78,Tasiilaq,GL,65.6145,-37.6368,35.76,89,5,5.26,clear sky
79,Yongan,CN,39.6957,113.6871,50.43,56,7,1.19,clear sky
80,Ingham,US,42.6,-84.3833,69.28,69,1,4.61,clear sky
81,Homer,US,59.6425,-151.5483,46.29,57,90,10.36,overcast clouds
82,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,26,8.01,scattered clouds
